event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
14,intensity,20,0,1,WRFrain_noPGW_HPE14.mat,WRFrain_PGW_V3_HPE14.mat,0.786875044,0.614830394,-0.17204465,0.781357089,mm_per_hr
15,intensity,20,0,1,WRFrain_noPGW_HPE15.mat,WRFrain_PGW_V3_HPE15.mat,0.55762193,0.704216193,0.146594263,1.262891854,mm_per_hr
16,intensity,20,0,1,WRFrain_noPGW_HPE16.mat,WRFrain_PGW_V3_HPE16.mat,0.412150193,0.313738395,-0.098411798,0.761223458,mm_per_hr
17,intensity,20,0,1,WRFrain_noPGW_HPE17.mat,WRFrain_PGW_V3_HPE17.mat,0.459479683,0.485510847,0.026031164,1.056653568,mm_per_hr
18,intensity,20,0,1,WRFrain_noPGW_HPE18.mat,WRFrain_PGW_V3_HPE18.mat,0.392025442,0.282554477,-0.109470965,0.720755458,mm_per_hr
19,intensity,20,0,1,WRFrain_noPGW_HPE19.mat,WRFrain_PGW_V3_HPE19.mat,0.198776652,0.30672383,0.107947178,1.543057635,mm_per_hr
20,intensity,20,0,1,WRFrain_noPGW_HPE20.mat,WRFrain_PGW_V3_HPE20.mat,0.0274002,0.008955799,-0.018444401,0.326851606,mm_per_hr
21,intensity,20,0,1,WRFrain_noPGW_HPE21.mat,WRFrain_PGW_V3_HPE21.mat,0.030181894,0.013389535,-0.016792359,0.443628065,mm_per_hr
22,intensity,20,0,1,WRFrain_noPGW_HPE22.mat,WRFrain_PGW_V3_HPE22.mat,0.172685324,0.123299872,-0.049385451,0.714014774,mm_per_hr
23,intensity,20,0,1,WRFrain_noPGW_HPE23.mat,WRFrain_PGW_V3_HPE23.mat,0.385588083,0.272075329,-0.113512754,0.705611354,mm_per_hr
24,intensity,20,0,1,WRFrain_noPGW_HPE24.mat,WRFrain_PGW_V3_HPE24.mat,0.727170641,0.769336386,0.042165746,1.05798604,mm_per_hr
