event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-6500,6500.0,175588.38320380103,8.970279693603516,0.42321042515406315,0.75,6037.46,0.608,0.02,124.08,0.025,1.06,11586.6,0.518,0.02,124.08,0.025,180071.60053845285,28.02056312561035,0.460572270240731,5.92,22741.92,0.662,0.73,4480.63,0.094,4.33,18802.6,0.672,0.1,272.6,0.04
01,0,-6000,6000.0,191276.51860313665,10.133259773254395,0.4424664924499287,0.42,1342.16,0.221,0.03,129.72,0.026,1.03,12505.0,0.536,0.03,129.72,0.026,167235.34457694652,24.03913688659668,0.44115635966893363,2.03,7886.639999999999,0.615,0.71,4675.44,0.097,3.54,16736.2,0.643,0.1,268.84,0.04
01,0,-5500,5500.0,206098.87596066424,11.649951934814453,0.45878283658357855,0.42,1342.16,0.221,0.02,148.52,0.028,1.17,13431.6,0.554,0.02,148.52,0.028,158641.99604248477,21.136817932128906,0.43009045359573356,1.31,5444.58,0.62,0.68,4887.96,0.1,2.96,14981.4,0.615,0.08,212.43999999999997,0.036
01,0,-5000,5000.0,219516.87063242611,13.171332359313965,0.4758986194414722,1.1,7102.1,0.648,0.02,154.16,0.028,1.41,14579.600000000002,0.575,0.02,154.16,0.028,153365.69218772635,18.86626625061035,0.4227617247671618,1.25,5089.23,0.603,0.06,197.4,0.035,2.67,13784.199999999999,0.593,0.06,197.4,0.035
01,0,-4500,4500.0,230141.69662774133,14.614715576171875,0.4894438426965053,1.17,7212.3,0.653,0.02,182.36,0.031,1.64,15694.8,0.595,0.02,182.36,0.031,150526.78748811278,17.263017654418945,0.42130619763466653,1.22,5002.71,0.597,0.04,161.68,0.031,2.45,12906.8,0.576,0.04,161.68,0.031
01,0,-4000,4000.0,234630.33058253452,15.847055435180664,0.4986341890417492,1.48,7774.9,0.67,0.03,189.88,0.032,1.85,17179.0,0.621,0.03,189.88,0.032,148850.47173673217,15.682516098022461,0.4214488131076596,1.19,4965.63,0.598,0.04,154.16,0.03,2.3,12578.8,0.569,0.04,154.16,0.03
01,0,-3500,3500.0,233975.1236376168,16.63504409790039,0.5008044149395758,1.51,7818.4,0.672,0.04,227.48,0.035,2.01,18540.2,0.643,0.04,227.48,0.035,147899.27415900695,14.2530517578125,0.4232381710860239,1.11,4706.7,0.575,0.03,146.64,0.029,2.16,12480.4,0.568,0.03,146.64,0.029
01,0,-3000,3000.0,227417.34400889833,16.62685775756836,0.4980626925382981,0.85,4517.04,0.664,0.04,240.64,0.036,2.11,19647.2,0.658,0.04,240.64,0.036,146557.02194835144,12.846763610839844,0.42363677871356875,1.09,4872.93,0.592,0.04,146.64,0.029,2.03,12578.8,0.571,0.04,146.64,0.029
01,0,-2500,2500.0,216785.46919598663,16.29222869873047,0.4881718172111638,1.08,5296.35,0.669,0.56,5029.64,0.097,2.15,20327.8,0.667,0.06,272.6,0.039,144017.21160259165,11.709081649780273,0.4213123694522452,0.76,3161.73,0.571,0.04,152.28,0.03,1.9,12529.6,0.57,0.04,152.28,0.03
01,0,-2000,2000.0,201509.19529479826,15.128350257873535,0.47193635520703336,0.92,5053.14,0.658,0.47,4498.34,0.091,2.13,19712.8,0.66,0.07,282.0,0.039,140904.43011152785,11.138185501098633,0.41602791399792394,0.67,3079.32,0.565,0.04,154.16,0.03,1.77,12177.0,0.566,0.04,154.16,0.03
