event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
2,intensity,20,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,13.8575409437795,17.5045184446353,3.64697750085574,1.26317638285549,mm_per_hr
2,intensity,20,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,32.5392837524414,50.3009834289551,17.7616996765137,1.54585404557902,mm_per_hr
2,intensity,20,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,30.3135566711426,46.8588924407959,16.5453357696533,1.54580648351976,mm_per_hr
2,intensity,20,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,28.3479563395182,42.656208674113,14.3082523345947,1.50473664356003,mm_per_hr
2,intensity,30,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,12.7227445082231,12.0920006444088,-0.630743863814304,0.95042391494959,mm_per_hr
2,intensity,30,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,27.3874359130859,35.4961395263672,8.10870361328125,1.29607385076187,mm_per_hr
2,intensity,30,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,26.1368560791016,33.2049913406372,7.06813526153564,1.27042790610104,mm_per_hr
2,intensity,30,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,24.8638966878255,32.6530287000868,7.78913201226129,1.31327076805605,mm_per_hr
2,intensity,60,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,10.293407156176,8.5648854145062,-1.72852174166975,0.83207486933686,mm_per_hr
2,intensity,60,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,17.3407363891602,19.6573219299316,2.31658554077148,1.13359210870766,mm_per_hr
2,intensity,60,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,17.5837821960449,19.097448348999,1.5136661529541,1.08608308133472,mm_per_hr
2,intensity,60,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,17.2292997572157,22.8014127943251,5.57211303710937,1.32340914115072,mm_per_hr
2,intensity,120,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,7.48339826485206,6.59999579919917,-0.883402465652895,0.88195169702486,mm_per_hr
2,intensity,120,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,11.5734100341797,11.8915557861328,0.318145751953125,1.02748937011767,mm_per_hr
2,intensity,120,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,11.7091999053955,11.3442969322205,-0.364902973175049,0.968836216298015,mm_per_hr
2,intensity,120,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,11.5111991034614,12.7941788567437,1.28297975328234,1.11145491809768,mm_per_hr
2,intensity,240,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,4.6394794013433,5.15217030496807,0.51269090362477,1.11050612779449,mm_per_hr
2,intensity,240,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,6.70624160766602,8.72176456451416,2.01552295684814,1.30054433984964,mm_per_hr
2,intensity,240,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,6.76782083511353,8.42757773399353,1.65975689888,1.24524244056058,mm_per_hr
2,intensity,240,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,6.65645662943522,8.40518760681152,1.7487309773763,1.26271199148858,mm_per_hr
2,intensity,360,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,4.43711931553505,4.89719138000951,0.460072064474458,1.1036871068271,mm_per_hr
2,intensity,360,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,5.71455510457357,6.52565066019694,0.811095555623373,1.14193503094829,mm_per_hr
